,code,name,date,weight
81,002241,歌尔声学,2015-09-01,0.21
82,002252,上海莱士,2015-09-01,0.24
83,002292,奥飞动漫,2015-09-01,0.16
84,002294,信立泰,2015-09-01,0.09
85,002304,洋河股份,2015-09-01,0.3
86,002310,东方园林,2015-09-01,0.22
87,002344,海宁皮城,2015-09-01,0.08
88,002353,杰瑞股份,2015-09-01,0.24
89,002375,亚厦股份,2015-09-01,0.1
90,002385,大北农,2015-09-01,0.2
91,002399,海普瑞,2015-09-01,0.07
92,002410,广联达,2015-09-01,0.19
93,002415,海康威视,2015-09-01,0.45
94,002422,科伦药业,2015-09-01,0.13
95,002450,康得新,2015-09-01,0.47
96,002456,欧菲光,2015-09-01,0.14
97,002465,海格通信,2015-09-01,0.22
98,002470,金正大,2015-09-01,0.13
99,002475,立讯精密,2015-09-01,0.16
100,002500,山西证券,2015-09-01,0.15
101,002570,贝因美,2015-09-01,0.07
102,002594,比亚迪,2015-09-01,0.27
103,002653,海思科,2015-09-01,0.05
104,002673,西部证券,2015-09-01,0.22
105,002736,国信证券,2015-09-01,0.23
106,300002,神州泰岳,2015-09-01,0.15
107,300003,乐普医疗,2015-09-01,0.18
108,300015,爱尔眼科,2015-09-01,0.12
109,300017,网宿科技,2015-09-01,0.24
110,300024,机器人,2015-09-01,0.28
111,300027,华谊兄弟,2015-09-01,0.44
112,300058,蓝色光标,2015-09-01,0.22
113,300059,东方财富,2015-09-01,0.45
114,300070,碧水源,2015-09-01,0.3
115,300104,乐视网,2015-09-01,0.37
116,300124,汇川技术,2015-09-01,0.19
117,300133,华策影视,2015-09-01,0.11
118,300146,汤臣倍健,2015-09-01,0.1
119,300251,光线传媒,2015-09-01,0.12
120,600000,浦发银行,2015-09-01,1.97
121,600005,武钢股份,2015-09-01,0.21
122,600008,首创股份,2015-09-01,0.1
123,600009,上海机场,2015-09-01,0.28
124,600010,包钢股份,2015-09-01,0.46
125,600011,华能国际,2015-09-01,0.46
126,600015,华夏银行,2015-09-01,0.66
127,600016,民生银行,2015-09-01,3.02
128,600018,上港集团,2015-09-01,0.21
129,600019,宝钢股份,2015-09-01,0.34
130,600023,浙能电力,2015-09-01,0.25
131,600027,华电国际,2015-09-01,0.18
132,600028,中国石化,2015-09-01,0.61
133,600029,南方航空,2015-09-01,0.33
134,600030,中信证券,2015-09-01,1.37
135,600031,三一重工,2015-09-01,0.3
136,600036,招商银行,2015-09-01,3.19
137,600038,中直股份,2015-09-01,0.12
138,600048,保利地产,2015-09-01,0.64
139,600050,中国联通,2015-09-01,0.63
140,600060,海信电器,2015-09-01,0.13
141,600066,宇通客车,2015-09-01,0.27
142,600068,葛洲坝,2015-09-01,0.24
143,600085,同仁堂,2015-09-01,0.19
144,600089,特变电工,2015-09-01,0.34
145,600100,同方股份,2015-09-01,0.29
146,600104,上汽集团,2015-09-01,0.66
147,600108,亚盛集团,2015-09-01,0.12
148,600109,国金证券,2015-09-01,0.27
149,600111,北方稀土,2015-09-01,0.33
150,600115,东方航空,2015-09-01,0.31
151,600118,中国卫星,2015-09-01,0.27
152,600150,中国船舶,2015-09-01,0.28
153,600153,建发股份,2015-09-01,0.34
154,600157,永泰能源,2015-09-01,0.19
155,600166,福田汽车,2015-09-01,0.11
156,600170,上海建工,2015-09-01,0.17
157,600177,雅戈尔,2015-09-01,0.23
158,600188,兖州煤业,2015-09-01,0.04
159,600196,复星医药,2015-09-01,0.3
